feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,credit_risk,good_credit,jurisdiction,gender,predicted_probability,approval_decision,adjusted_probability
4,24,2,59,5,2,2,1,3,44,3,2,1,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Female,0.9249954584514175,1,0.7249954584514176
1,12,1,3,1,5,4,1,3,45,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,EU,Female,0.45161796139493476,0,0.25161796139493475
4,27,2,52,5,5,3,4,2,48,3,4,2,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.959426483336999,1,0.759426483336999
4,6,2,35,1,3,3,3,2,26,3,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,EU,Male,0.9027979228216171,1,0.9027979228216171
2,12,2,75,5,1,2,2,1,24,3,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,US,Male,0.40010878262635663,0,0.40010878262635663
2,12,2,11,1,4,3,3,1,29,3,2,1,1,2,0,0,0,0,0,1,0,0,1,1,1,US,Male,0.9823883443526377,1,0.9823883443526377
4,12,2,18,1,3,3,2,1,24,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,US,Female,0.8205281235653533,1,0.6205281235653533
1,36,2,23,1,3,1,4,3,31,3,1,1,1,1,0,0,1,0,1,0,0,0,1,2,0,US,Female,0.1677808504252568,0,0.0
4,12,4,8,5,5,2,3,2,33,1,1,2,1,1,0,0,1,0,0,1,0,1,0,2,0,EU,Female,0.9622700477160729,1,0.7622700477160729
2,30,4,42,1,1,4,2,3,28,3,2,1,1,1,1,0,1,0,0,1,0,0,0,2,0,EU,Male,0.5040460488665607,1,0.5040460488665607
4,12,1,34,3,3,2,3,1,35,3,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,US,Female,0.8859732026024163,1,0.6859732026024163
4,18,4,32,5,1,3,4,4,38,3,1,1,2,1,0,1,1,0,0,1,0,0,0,1,1,EU,Male,0.9907255630009809,1,0.9907255630009809
2,12,4,36,1,3,2,1,1,23,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,EU,Female,0.7749121960172196,1,0.5749121960172197
2,12,2,65,5,1,3,1,4,52,3,1,1,2,1,0,0,1,0,0,1,0,0,0,2,0,US,Female,0.8416882430952236,1,0.6416882430952235
4,24,2,54,5,1,2,4,2,26,3,1,1,2,1,0,1,1,0,1,0,0,0,0,1,1,US,Female,0.9597372094353638,1,0.7597372094353638
1,27,0,53,1,1,3,4,2,50,2,2,1,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Male,0.2333248388590913,0,0.2333248388590913
2,18,3,24,5,5,3,2,2,42,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.9101936575224804,1,0.9101936575224804
1,15,4,14,1,3,2,3,2,25,3,2,1,1,1,0,0,1,0,1,0,0,0,1,1,1,US,Male,0.5441734847480105,1,0.5441734847480105
2,8,2,9,1,2,4,2,1,26,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,EU,Female,0.8149677418429567,1,0.6149677418429567
1,24,2,14,1,4,2,4,3,23,3,2,1,1,1,1,0,1,0,1,0,0,0,1,2,0,EU,Male,0.16496193231969153,0,0.16496193231969153
2,8,2,8,1,4,2,2,1,44,3,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,EU,Male,0.9313019783484366,1,0.9313019783484366
1,18,2,24,1,2,2,1,3,27,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.34131515763077425,0,0.34131515763077425
2,36,0,38,1,3,2,1,3,42,3,1,1,2,1,0,0,1,0,0,1,0,0,1,2,0,EU,Female,0.3654967412757673,0,0.1654967412757673
1,18,2,12,1,3,4,3,1,47,3,1,1,2,1,0,0,1,0,0,1,0,1,0,2,0,US,Male,0.6866635898362092,1,0.6866635898362092
2,36,2,126,2,3,3,4,4,47,3,1,2,2,1,0,0,1,0,0,0,0,0,1,2,0,EU,Male,0.36494901881855046,0,0.36494901881855046
4,24,2,23,1,4,3,2,3,28,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Male,0.8537639030912288,1,0.8537639030912288
2,48,2,54,5,1,3,4,4,40,1,1,1,2,1,0,0,1,0,0,0,1,0,0,1,1,US,Male,0.26844375214945265,0,0.26844375214945265
1,24,2,30,5,3,4,4,3,20,3,1,1,1,1,0,0,1,0,0,1,0,0,1,2,0,US,Female,0.6266104019119881,0,0.4266104019119881
2,15,4,27,5,4,3,2,1,35,1,3,1,2,1,0,0,0,0,0,1,0,0,1,1,1,US,Male,0.981405344800059,1,0.981405344800059
2,15,3,15,4,3,4,3,2,61,2,2,1,1,1,0,0,1,0,0,1,0,0,1,2,0,US,Female,0.8920323599280751,1,0.6920323599280751
2,24,3,70,2,4,3,4,3,36,3,1,1,2,1,0,0,1,0,1,0,0,0,0,1,1,EU,Female,0.5939850217421176,0,0.39398502174211764
2,9,2,14,1,3,4,1,1,27,1,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1,US,Female,0.7353224682032482,1,0.5353224682032482
